Flares,Start Time,End Time,NOAA
X2.2,2011-02-15 01:44:00,2011-02-15 02:06:00,11158
X1.5,2011-03-09 23:13:00,2011-03-09 23:29:00,11166
X6.9,2011-08-09 07:48:00,2011-08-09 08:08:00,11263
X2.1,2011-09-06 22:12:00,2011-09-06 22:24:00,11283
X1.8,2011-09-07 22:32:00,2011-09-07 22:44:00,11283
X1.4,2011-09-22 10:29:00,2011-09-22 11:44:00,11302
X1.9,2011-09-24 09:21:00,2011-09-24 09:48:00,11302
X1.9,2011-11-03 20:16:00,2011-11-03 20:32:00,11339
X1.7,2012-01-27 17:37:00,2012-01-27 18:56:00,11402
X1.1,2012-03-05 02:30:00,2012-03-05 04:43:00,11429
X5.4,2012-03-07 00:02:00,2012-03-07 00:40:00,11429
X1.3,2012-03-07 01:05:00,2012-03-07 01:23:00,11430
X1.1,2012-07-06 23:01:00,2012-07-06 23:14:00,11515
X1.4,2012-07-12 15:37:00,2012-07-12 17:30:00,11520
X1.8,2012-10-23 03:13:00,2012-10-23 03:21:00,11598
X1.7,2013-05-13 01:53:00,2013-05-13 02:32:00,11748
X2.8,2013-05-13 15:48:00,2013-05-13 16:16:00,11748
X3.2,2013-05-14 00:00:00,2013-05-14 01:20:00,11748
X1.2,2013-05-15 01:25:00,2013-05-15 01:58:00,11748
X1.0,2013-10-28 01:41:00,2013-10-28 02:12:00,11875
X2.3,2013-10-29 21:42:00,2013-10-29 22:01:00,11875
X1.7,2013-10-25 07:53:00,2013-10-25 08:09:00,11882
X2.1,2013-10-25 14:51:00,2013-10-25 15:12:00,11882
X3.3,2013-11-05 22:07:00,2013-11-05 22:15:00,11890
X1.1,2013-11-08 04:20:00,2013-11-08 04:29:00,11890
X1.1,2013-11-10 05:08:00,2013-11-10 05:18:00,11890
X1.0,2013-11-19 10:14:00,2013-11-19 10:34:00,11893
X1.2,2014-01-07 18:04:00,2014-01-07 18:58:00,11944
X4.9,2014-02-25 00:39:00,2014-02-25 01:03:00,11990
X1.0,2014-03-29 17:35:00,2014-03-29 17:54:00,12017
X1.3,2014-04-25 00:17:00,2014-04-25 00:38:00,12035
X2.2,2014-06-10 11:36:00,2014-06-10 11:44:00,12087
X1.5,2014-06-10 12:36:00,2014-06-10 13:03:00,12087
X1.0,2014-06-11 08:59:00,2014-06-11 09:10:00,12087
X1.6,2014-09-10 17:21:00,2014-09-10 18:20:00,12158
X1.1,2014-10-19 04:17:00,2014-10-19 05:48:00,12192
X1.6,2014-10-22 14:02:00,2014-10-22 14:50:00,12192
X3.1,2014-10-24 21:07:00,2014-10-24 22:13:00,12192
X1.0,2014-10-25 16:55:00,2014-10-25 18:11:00,12192
X2.0,2014-10-26 10:04:00,2014-10-26 11:18:00,12192
X2.0,2014-10-27 14:12:00,2014-10-27 15:09:00,12192
X1.6,2014-11-07 16:53:00,2014-11-07 17:34:00,12205
X1.8,2014-12-20 00:11:00,2014-12-20 00:55:00,12242
X2.1,2015-03-11 16:11:00,2015-03-11 16:29:00,12297
X2.7,2015-05-05 22:05:00,2015-05-05 22:15:00,12339
X2.2,2017-09-06 08:57:00,2017-09-06 09:17:00,12673
X9.3,2017-09-06 11:53:00,2017-09-06 12:10:00,12673
X1.3,2017-09-07 14:20:00,2017-09-07 14:55:00,12673
X8.2,2017-09-10 15:35:00,2017-09-10 16:31:00,12673
